transaction_id,date,customer_age,gender,region,product_category,quantity,unit_price,total_sales,payment_method,customer_rating
TXN00027,2023-01-10 11:21:48.108108,51.0,Male,East,Sports,5,999,1663.36,Cash,5
TXN00028,2023-01-10 20:06:29.189189,23.0,Female,South,Clothing,6,499,2640.45,Credit Card,3
TXN00029,2023-01-11 04:51:10.270270,63.0,Male,North,Groceries,2,199,2015.59,Debit Card,4
TXN00030,2023-01-11 13:35:51.351351,23.0,Male,North,Clothing,9,9999,2213.32,Cash,4
TXN00031,2023-01-11 22:20:32.432432,51.0,Female,South,Groceries,6,9999,2014.91,Credit Card,4
TXN00032,2023-01-12 07:05:13.513513,18.0,Male,North,Sports,7,199,3585.46,Cash,4
TXN00033,2023-01-12 15:49:54.594594,27.0,Female,West,Electronics,8,999,2391.36,Cash,3
TXN00034,2023-01-13 00:34:35.675675,,Female,West,Clothing,1,199,1723.07,Credit Card,2
TXN00035,2023-01-13 09:19:16.756756,22.0,Male,North,Sports,8,999,2926.43,Debit Card,3
TXN00036,2023-01-13 18:03:57.837837,19.0,Female,South,Sports,4,999,1618.66,Cash,2
TXN00037,2023-01-14 02:48:38.918918,39.0,Male,South,Groceries,8,199,2533.67,Debit Card,4
TXN00038,2023-01-14 11:33:20.000000,65.0,Female,North,Groceries,6,2999,1145.81,Debit Card,4
TXN00039,2023-01-14 20:18:01.081081,19.0,Male,East,Clothing,9,9999,1549.96,Debit Card,5
TXN00040,2023-01-15 05:02:42.162162,27.0,Female,West,Groceries,4,999,2525.99,Credit Card,4
TXN00041,2023-01-15 13:47:23.243243,51.0,Male,East,Furniture,2,199,16386.564669811392,UPI,2
TXN00042,2023-01-15 22:32:04.324324,33.0,Female,South,Groceries,2,2999,2509.68,Debit Card,5
TXN00043,2023-01-16 07:16:45.405405,65.0,Female,South,Clothing,5,9999,2325.99,UPI,5
TXN00044,2023-01-16 16:01:26.486486,68.0,Female,East,Electronics,9,999,2207.29,UPI,4
TXN00045,2023-01-17 00:46:07.567567,56.0,Male,North,Clothing,3,9999,1453.75,Cash,4
TXN00046,2023-01-17 09:30:48.648648,39.0,Male,East,Electronics,8,2999,1939.3,Debit Card,5
TXN00047,2023-01-17 18:15:29.729729,29.0,Female,East,Electronics,4,9999,2105.19,Debit Card,4
TXN00048,2023-01-18 03:00:10.810810,41.0,Male,West,Clothing,6,1499,3076.56,Debit Card,5
TXN00049,2023-01-18 11:44:51.891891,64.0,Female,West,Electronics,6,4999,2619.92,UPI,2
TXN00050,2023-01-18 20:29:32.972972,57.0,Male,East,Electronics,3,1499,1271.65,Credit Card,3
TXN00051,2023-01-19 05:14:14.054054,55.0,Female,East,Groceries,5,2999,2607.41,UPI,4
TXN00052,2023-01-19 13:58:55.135135,27.0,Male,South,Electronics,3,999,2153.55,Debit Card,4
TXN00053,2023-01-19 22:43:36.216216,52.0,Female,West,Electronics,1,199,1966.77,Debit Card,5
TXN00054,2023-01-20 07:28:17.297297,68.0,Female,West,Clothing,7,499,2791.47,Debit Card,5
TXN00055,2023-01-20 16:12:58.378378,66.0,Female,South,Electronics,4,199,3059.84,UPI,4
TXN00056,2023-01-21 00:57:39.459459,49.0,Female,North,Groceries,7,9999,2996.02,Debit Card,1
TXN00057,2023-01-21 09:42:20.540540,24.0,Male,West,Electronics,3,499,1862.9,Cash,5
TXN00058,2023-01-21 18:27:01.621621,38.0,Female,West,Furniture,5,499,2202.1,Debit Card,4
TXN00059,2023-01-22 03:11:42.702702,37.0,Male,North,Sports,5,9999,2612.01,Credit Card,3
TXN00060,2023-01-22 11:56:23.783783,,Male,West,Groceries,2,9999,3024.35,Cash,4
TXN00061,2023-01-22 20:41:04.864864,21.0,Female,West,Groceries,2,999,2093.33,Debit Card,4
TXN00062,2023-01-23 05:25:45.945945,63.0,Male,North,Sports,4,2999,2281.18,Cash,5
TXN00063,2023-01-23 14:10:27.027027,69.0,Male,North,Groceries,4,199,1691.95,Debit Card,4
TXN00064,2023-01-23 22:55:08.108108,39.0,Male,East,Electronics,4,2999,1634.43,Credit Card,3
TXN00065,2023-01-24 07:39:49.189189,32.0,Female,South,Clothing,6,1499,2920.02,Debit Card,5
TXN00066,2023-01-24 16:24:30.270270,57.0,Male,South,Sports,2,999,3267.99,Cash,4
TXN00067,2023-01-25 01:09:11.351351,38.0,Male,North,Clothing,6,999,2353.91,Credit Card,4
TXN00068,2023-01-25 09:53:52.432432,32.0,Female,North,Electronics,7,1499,3042.26,UPI,3
TXN00069,2023-01-25 18:38:33.513513,39.0,Female,West,Groceries,3,199,2631.45,Credit Card,4
TXN00070,2023-01-26 03:23:14.594594,69.0,Male,East,Furniture,8,4999,1987.12,Credit Card,3
TXN00071,2023-01-26 12:07:55.675675,45.0,Female,East,Electronics,2,1499,2631.29,Credit Card,3
TXN00072,2023-01-26 20:52:36.756756,31.0,Male,North,Groceries,8,199,3384.34,Cash,4
TXN00073,2023-01-27 05:37:17.837837,44.0,Male,West,Electronics,5,499,2377.07,Credit Card,3
TXN00074,2023-01-27 14:21:58.918918,58.0,Male,West,Groceries,2,9999,3401.37,Debit Card,4
TXN00075,2023-01-27 23:06:40.000000,57.0,Female,South,Clothing,7,999,723.36,Credit Card,2
TXN00076,2023-01-28 07:51:21.081081,45.0,Male,South,Clothing,2,199,2926.02,Credit Card,4
TXN00077,2023-01-28 16:36:02.162162,43.0,Female,West,Furniture,6,2999,2455.71,Debit Card,3
TXN00078,2023-01-29 01:20:43.243243,66.0,Female,South,Groceries,3,9999,2208.64,Debit Card,1
TXN00079,2023-01-29 10:05:24.324324,19.0,Male,North,Groceries,9,2999,2458.73,UPI,2
TXN00080,2023-01-29 18:50:05.405405,42.0,Female,West,Clothing,3,9999,1127.96,Credit Card,5
TXN00081,2023-01-30 03:34:46.486486,20.0,Female,,Clothing,3,999,19057.08491425648,Cash,5
TXN00082,2023-01-30 12:19:27.567567,25.0,Female,East,Groceries,5,1499,2628.55,Credit Card,3
TXN00083,2023-01-30 21:04:08.648648,61.0,Female,West,Electronics,7,4999,3345.85,Credit Card,5
TXN00084,2023-01-31 05:48:49.729729,50.0,Female,West,Clothing,8,1499,2068.31,Debit Card,4
TXN00085,2023-01-31 14:33:30.810810,59.0,Male,East,Electronics,7,199,1882.56,UPI,5
TXN00086,2023-01-31 23:18:11.891891,69.0,Female,North,Groceries,9,1499,2078.88,Credit Card,4
TXN00087,2023-02-01 08:02:52.972972,52.0,Male,East,Sports,5,999,2985.86,Cash,4
TXN00088,2023-02-01 16:47:34.054054,23.0,Male,West,Sports,3,199,2610.4,Credit Card,2
TXN00089,2023-02-02 01:32:15.135135,56.0,Male,North,Groceries,6,499,2060.95,Cash,4
TXN00090,2023-02-02 10:16:56.216216,69.0,Male,South,Clothing,5,1499,2728.49,Debit Card,5
TXN00091,2023-02-02 19:01:37.297297,40.0,Male,South,Clothing,4,1499,17801.24582040892,UPI,4
TXN00092,2023-02-03 03:46:18.378378,42.0,Male,South,Furniture,2,4999,3019.93,Credit Card,3
TXN00093,2023-02-03 12:30:59.459459,67.0,Female,West,Electronics,7,199,1950.69,UPI,2
TXN00094,2023-02-03 21:15:40.540540,60.0,Female,East,Sports,5,2999,2190.3,Credit Card,4
TXN00095,2023-02-04 06:00:21.621621,36.0,Female,North,Clothing,4,1499,2149.05,Cash,4
TXN00096,2023-02-04 14:45:02.702702,22.0,Male,South,Sports,8,999,1463.35,UPI,4
TXN00097,2023-02-04 23:29:43.783783,68.0,Female,,Furniture,9,1499,2589.52,Credit Card,5
TXN00098,2023-02-05 08:14:24.864864,28.0,Female,West,Furniture,9,4999,2567.08,Debit Card,1
TXN00099,2023-02-05 16:59:05.945945,29.0,Female,South,Clothing,3,499,2403.27,Cash,3
TXN00100,2023-02-06 01:43:47.027027,27.0,Male,West,Electronics,3,4999,2249.86,UPI,5
TXN00101,2023-02-06 10:28:28.108108,25.0,Female,East,Clothing,5,1499,1494.16,Credit Card,3
TXN00102,2023-02-06 19:13:09.189189,41.0,Male,West,Clothing,5,2999,2130.79,UPI,3
TXN00103,2023-02-07 03:57:50.270270,45.0,Female,West,Electronics,2,9999,2180.66,Credit Card,4
TXN00104,2023-02-07 12:42:31.351351,58.0,Male,East,Groceries,1,1499,1886.54,Cash,5
TXN00105,2023-02-07 21:27:12.432432,53.0,Male,North,Clothing,8,199,2296.78,Debit Card,2
TXN00106,2023-02-08 06:11:53.513513,54.0,Male,East,Groceries,3,1499,2658.59,Cash,5
TXN00107,2023-02-08 14:56:34.594594,38.0,Female,East,Groceries,1,2999,3607.16,UPI,5
TXN00108,2023-02-08 23:41:15.675675,25.0,Female,West,Electronics,1,199,2511.73,UPI,3
TXN00109,2023-02-09 08:25:56.756756,26.0,Male,North,Sports,2,999,2564.83,Credit Card,4
TXN00110,2023-02-09 17:10:37.837837,64.0,Female,South,Electronics,6,199,2352.35,Cash,4
TXN00111,2023-02-10 01:55:18.918918,32.0,Male,East,Clothing,6,4999,1171.99,Credit Card,4
TXN00112,2023-02-10 10:40:00.000000,65.0,Male,North,Groceries,3,499,2383.03,Cash,5
TXN00113,2023-02-10 19:24:41.081081,63.0,Female,East,Furniture,4,4999,2438.55,UPI,5
TXN00114,2023-02-11 04:09:22.162162,57.0,Female,East,Electronics,2,9999,3976.47,Credit Card,2
TXN00115,2023-02-11 12:54:03.243243,35.0,Female,East,Clothing,2,199,2276.89,Credit Card,4
TXN00116,2023-02-11 21:38:44.324324,59.0,Male,East,Groceries,7,999,2592.99,Cash,4
TXN00117,2023-02-12 06:23:25.405405,,Male,West,Electronics,1,1499,2377.78,Debit Card,4
TXN00118,2023-02-12 15:08:06.486486,23.0,Female,North,Groceries,7,199,1652.05,Cash,4
TXN00119,2023-02-12 23:52:47.567567,29.0,Male,North,Sports,1,4999,3131.41,Debit Card,2
TXN00120,2023-02-13 08:37:28.648648,,Female,North,Sports,6,199,2881.24,Cash,4
TXN00121,2023-02-13 17:22:09.729729,24.0,Male,East,Electronics,3,199,2906.26,UPI,4
TXN00122,2023-02-14 02:06:50.810810,33.0,Female,West,Electronics,8,199,1817.99,Credit Card,3
TXN00123,2023-02-14 10:51:31.891891,20.0,Female,East,Clothing,6,999,3297.79,Cash,5
TXN00124,2023-02-14 19:36:12.972972,62.0,Male,East,Clothing,2,2999,1502.82,UPI,5
TXN00125,2023-02-15 04:20:54.054054,20.0,Female,North,Electronics,8,2999,2775.59,Cash,4
TXN00126,2023-02-15 13:05:35.135135,44.0,Female,East,Electronics,5,199,3801.89,Credit Card,3
TXN00127,2023-02-15 21:50:16.216216,67.0,Male,South,Sports,8,999,1766.06,Cash,4
TXN00128,2023-02-16 06:34:57.297297,60.0,Female,East,Sports,8,999,2037.57,Debit Card,3
TXN00129,2023-02-16 15:19:38.378378,57.0,Male,South,Electronics,6,9999,2463.78,Credit Card,3
TXN00130,2023-02-17 00:04:19.459459,55.0,Female,East,Clothing,2,199,2077.78,Debit Card,4
TXN00131,2023-02-17 08:49:00.540540,,Male,West,Clothing,8,4999,1407.58,UPI,1
TXN00132,2023-02-17 17:33:41.621621,45.0,Female,West,Electronics,6,4999,2443.88,UPI,2
TXN00133,2023-02-18 02:18:22.702702,18.0,Female,North,Groceries,6,499,1720.13,Cash,1
TXN00134,2023-02-18 11:03:03.783783,25.0,Female,East,Groceries,8,199,2703.1,Debit Card,3
TXN00135,2023-02-18 19:47:44.864864,54.0,Female,South,Sports,1,499,1811.57,Debit Card,2
TXN00136,2023-02-19 04:32:25.945945,49.0,Male,South,Groceries,2,4999,3391.96,Credit Card,5
TXN00137,2023-02-19 13:17:07.027027,65.0,Male,East,Groceries,9,4999,1898.72,Debit Card,3
TXN00138,2023-02-19 22:01:48.108108,60.0,Male,South,Groceries,8,199,2193.88,Debit Card,2
TXN00139,2023-02-20 06:46:29.189189,54.0,Male,West,Clothing,7,499,2920.65,Credit Card,3
TXN00140,2023-02-20 15:31:10.270270,21.0,Male,South,Groceries,7,499,1612.25,Credit Card,5
TXN00141,2023-02-21 00:15:51.351351,47.0,Male,North,Groceries,5,199,2545.57,Debit Card,4
TXN00142,2023-02-21 09:00:32.432432,23.0,Male,West,Electronics,2,9999,3236.57,Cash,4
TXN00143,2023-02-21 17:45:13.513513,63.0,Female,West,Electronics,6,499,1371.21,Credit Card,5
TXN00144,2023-02-22 02:29:54.594594,36.0,Female,West,Clothing,3,9999,2518.17,Credit Card,4
TXN00145,2023-02-22 11:14:35.675675,49.0,Female,East,Sports,4,1499,2566.32,Debit Card,3
TXN00146,2023-02-22 19:59:16.756756,26.0,Female,East,Electronics,2,4999,2900.37,Debit Card,3
TXN00147,2023-02-23 04:43:57.837837,29.0,Male,West,Clothing,2,2999,1608.35,Credit Card,4
TXN00148,2023-02-23 13:28:38.918918,28.0,Male,East,Clothing,8,9999,1554.91,Debit Card,3
TXN00149,2023-02-23 22:13:20.000000,63.0,Male,South,Groceries,8,9999,2734.04,Credit Card,4
TXN00150,2023-02-24 06:58:01.081081,33.0,Female,East,Electronics,6,9999,2590.07,Cash,3
TXN00151,2023-02-24 15:42:42.162162,18.0,Male,East,Sports,5,999,2560.32,Cash,4
TXN00152,2023-02-25 00:27:23.243243,62.0,Female,West,Sports,8,499,2621.73,Credit Card,2
TXN00153,2023-02-25 09:12:04.324324,38.0,Male,North,Groceries,4,499,1964.78,Credit Card,3
TXN00154,2023-02-25 17:56:45.405405,47.0,Male,North,Groceries,4,999,2548.64,UPI,4
TXN00155,2023-02-26 02:41:26.486486,30.0,Male,North,Electronics,5,499,2587.57,UPI,5
TXN00156,2023-02-26 11:26:07.567567,51.0,Male,South,Clothing,1,999,1942.82,Debit Card,4
TXN00157,2023-02-26 20:10:48.648648,21.0,Female,East,Furniture,1,9999,3594.1,Debit Card,4
TXN00158,2023-02-27 04:55:29.729729,45.0,Female,North,Electronics,2,199,2703.25,Credit Card,3
TXN00159,2023-02-27 13:40:10.810810,55.0,Male,West,Clothing,8,1499,1637.57,Credit Card,2
TXN00160,2023-02-27 22:24:51.891891,48.0,Female,North,Groceries,7,9999,2820.19,UPI,2
TXN00161,2023-02-28 07:09:32.972972,44.0,Male,North,Clothing,9,1499,1776.2,UPI,3
TXN00162,2023-02-28 15:54:14.054054,22.0,Male,East,Sports,5,4999,2903.73,Credit Card,3
TXN00163,2023-03-01 00:38:55.135135,,Male,East,Electronics,2,9999,3926.88,Cash,3
TXN00164,2023-03-01 09:23:36.216216,20.0,Male,East,Furniture,7,2999,2343.45,Cash,5
TXN00165,2023-03-01 18:08:17.297297,50.0,Female,South,Groceries,8,499,3770.7,Debit Card,1
TXN00166,2023-03-02 02:52:58.378378,21.0,Male,South,Furniture,7,2999,3330.22,Credit Card,4
TXN00167,2023-03-02 11:37:39.459459,42.0,Male,North,Clothing,7,199,3657.65,Credit Card,4
TXN00168,2023-03-02 20:22:20.540540,37.0,Female,East,Groceries,5,1499,4517.43,Debit Card,4
TXN00169,2023-03-03 05:07:01.621621,51.0,Male,North,Sports,2,9999,2803.69,UPI,4
TXN00170,2023-03-03 13:51:42.702702,43.0,Female,West,Groceries,6,199,2397.01,UPI,3
TXN00171,2023-03-03 22:36:23.783783,22.0,Male,West,Clothing,4,199,2288.39,Cash,3
TXN00172,2023-03-04 07:21:04.864864,52.0,Male,East,Groceries,2,499,2347.35,Credit Card,4
TXN00173,2023-03-04 16:05:45.945945,45.0,Male,East,Groceries,9,199,2938.32,UPI,5
TXN00174,2023-03-05 00:50:27.027027,46.0,Male,West,Clothing,7,9999,3272.92,Cash,3
TXN00175,2023-03-05 09:35:08.108108,26.0,Male,East,Sports,6,9999,3221.35,Cash,2
TXN00176,2023-03-05 18:19:49.189189,69.0,Male,South,Clothing,5,1499,3661.75,Cash,5
TXN00177,2023-03-06 03:04:30.270270,55.0,Female,South,Groceries,3,9999,3010.4,UPI,3
TXN00178,2023-03-06 11:49:11.351351,67.0,Male,East,Furniture,4,2999,4162.83,UPI,4
TXN00179,2023-03-06 20:33:52.432432,23.0,Female,West,Groceries,3,1499,2788.27,Credit Card,4
TXN00180,2023-03-07 05:18:33.513513,,Female,North,Sports,8,499,5176.14,Credit Card,2
TXN00181,2023-03-07 14:03:14.594594,61.0,Male,East,Sports,3,1499,3500.53,Cash,4
TXN00182,2023-03-07 22:47:55.675675,28.0,Female,East,Clothing,7,999,13894.274474491083,Cash,4
TXN00183,2023-03-08 07:32:36.756756,19.0,Male,North,Electronics,7,2999,2143.29,UPI,3
TXN00184,2023-03-08 16:17:17.837837,64.0,Female,East,Electronics,7,999,3385.98,UPI,4
TXN00185,2023-03-09 01:01:58.918918,61.0,Male,North,Groceries,7,999,2821.23,Credit Card,5
TXN00186,2023-03-09 09:46:40.000000,61.0,Female,West,Sports,2,4999,3571.2,Credit Card,4
TXN00187,2023-03-09 18:31:21.081081,26.0,Female,South,Electronics,3,9999,3378.59,Debit Card,2
TXN00188,2023-03-10 03:16:02.162162,38.0,Male,West,Electronics,9,499,2941.74,Credit Card,4
TXN00189,2023-03-10 12:00:43.243243,41.0,Female,South,Electronics,3,199,2322.57,UPI,4
TXN00190,2023-03-10 20:45:24.324324,51.0,Male,North,Furniture,2,999,1788.12,Cash,5
TXN00191,2023-03-11 05:30:05.405405,39.0,Male,South,Clothing,9,1499,2642.79,Debit Card,4
TXN00192,2023-03-11 14:14:46.486486,20.0,Male,West,Clothing,9,199,3685.12,Credit Card,3
TXN00193,2023-03-11 22:59:27.567567,29.0,Male,South,Groceries,4,1499,3171.27,Credit Card,4
TXN00194,2023-03-12 07:44:08.648648,45.0,Male,North,Furniture,9,1499,2003.41,UPI,4
TXN00195,2023-03-12 16:28:49.729729,47.0,Female,South,Groceries,3,199,3138.54,Debit Card,1
TXN00196,2023-03-13 01:13:30.810810,43.0,Female,East,Groceries,7,199,3308.25,Credit Card,4
TXN00197,2023-03-13 09:58:11.891891,65.0,Female,West,Electronics,7,9999,2292.91,Cash,3
TXN00198,2023-03-13 18:42:52.972972,38.0,Male,East,Groceries,8,1499,3122.98,UPI,4
TXN00199,2023-03-14 03:27:34.054054,45.0,Female,North,Groceries,4,499,15147.582772508733,Debit Card,3
TXN00200,2023-03-14 12:12:15.135135,,Female,South,Sports,3,9999,2085.62,Credit Card,4
TXN00201,2023-03-14 20:56:56.216216,,Female,East,Electronics,3,2999,3286.23,Credit Card,5
TXN00202,2023-03-15 05:41:37.297297,38.0,Female,East,Electronics,5,4999,3448.63,Debit Card,5
TXN00203,2023-03-15 14:26:18.378378,52.0,Female,South,Electronics,1,2999,3866.44,UPI,5
TXN00204,2023-03-15 23:10:59.459459,69.0,Male,South,Clothing,3,499,3843.04,Debit Card,5
TXN00205,2023-03-16 07:55:40.540540,51.0,Male,West,Furniture,6,9999,1897.86,Debit Card,1
TXN00206,2023-03-16 16:40:21.621621,58.0,Female,East,Electronics,3,4999,2249.74,UPI,4
TXN00207,2023-03-17 01:25:02.702702,68.0,Male,East,Groceries,5,9999,3412.03,Credit Card,4
TXN00208,2023-03-17 10:09:43.783783,64.0,Male,North,Clothing,9,199,3411.03,Cash,5
TXN00209,2023-03-17 18:54:24.864864,35.0,Female,West,Electronics,2,4999,3412.04,UPI,3
TXN00210,2023-03-18 03:39:05.945945,28.0,Female,North,Groceries,2,1499,6082.19,Cash,5
TXN00211,2023-03-18 12:23:47.027027,,Male,East,Clothing,6,2999,3456.71,Credit Card,4
TXN00212,2023-03-18 21:08:28.108108,65.0,Female,North,Clothing,6,4999,3908.45,Debit Card,5
TXN00213,2023-03-19 05:53:09.189189,39.0,Male,East,Groceries,8,1499,3763.2,Cash,2
TXN00214,2023-03-19 14:37:50.270270,34.0,Male,East,Groceries,2,9999,3521.11,Credit Card,3
TXN00215,2023-03-19 23:22:31.351351,22.0,Female,North,Electronics,9,499,2747.78,Credit Card,5
TXN00216,2023-03-20 08:07:12.432432,61.0,Male,North,Sports,2,4999,3607.18,Debit Card,1
TXN00217,2023-03-20 16:51:53.513513,,Male,South,Groceries,1,1499,2381.74,Debit Card,5
TXN00218,2023-03-21 01:36:34.594594,47.0,Male,South,Furniture,2,9999,2810.55,Credit Card,1
TXN00219,2023-03-21 10:21:15.675675,32.0,Female,South,Electronics,7,9999,2611.71,Credit Card,4
TXN00220,2023-03-21 19:05:56.756756,44.0,Female,East,Electronics,8,9999,3065.5,Cash,4
TXN00221,2023-03-22 03:50:37.837837,52.0,Female,North,Electronics,5,499,4851.73,Credit Card,4
TXN00222,2023-03-22 12:35:18.918918,50.0,Female,West,Electronics,6,199,1506.19,Credit Card,4
TXN00223,2023-03-22 21:20:00.000000,37.0,Male,East,Clothing,1,499,3549.01,Cash,3
TXN00224,2023-03-23 06:04:41.081081,33.0,Female,West,Sports,6,499,1709.83,UPI,2
TXN00225,2023-03-23 14:49:22.162162,51.0,Female,North,Groceries,8,2999,16995.403571773822,Cash,2
TXN00226,2023-03-23 23:34:03.243243,19.0,Female,East,Clothing,3,9999,3871.16,Cash,4
TXN00227,2023-03-24 08:18:44.324324,52.0,Female,West,Groceries,1,1499,3051.42,Debit Card,4
TXN00228,2023-03-24 17:03:25.405405,57.0,Male,West,Electronics,4,4999,2137.8,Cash,4
TXN00229,2023-03-25 01:48:06.486486,45.0,Male,South,Groceries,1,2999,2427.76,Credit Card,4
TXN00230,2023-03-25 10:32:47.567567,64.0,Male,South,Groceries,8,9999,3543.68,Credit Card,4
TXN00231,2023-03-25 19:17:28.648648,56.0,Female,South,Furniture,5,999,2415.71,Credit Card,4
TXN00232,2023-03-26 04:02:09.729729,23.0,Female,East,Sports,1,499,3173.17,UPI,1
TXN00233,2023-03-26 12:46:50.810810,26.0,Male,North,Clothing,8,999,3036.46,Credit Card,3
TXN00234,2023-03-26 21:31:31.891891,37.0,Female,North,Groceries,9,9999,2478.72,UPI,5
TXN00235,2023-03-27 06:16:12.972972,18.0,Female,South,Sports,2,2999,4715.16,Credit Card,5
TXN00236,2023-03-27 15:00:54.054054,25.0,Male,South,Furniture,9,1499,3507.14,Cash,3
TXN00237,2023-03-27 23:45:35.135135,40.0,Male,South,Groceries,8,2999,1379.89,Debit Card,4
TXN00238,2023-03-28 08:30:16.216216,20.0,Female,West,Sports,7,1499,3149.16,Credit Card,5
TXN00239,2023-03-28 17:14:57.297297,,Female,South,Electronics,3,1499,2470.57,UPI,4
TXN00240,2023-03-29 01:59:38.378378,42.0,Female,West,Sports,2,9999,3681.95,UPI,1
TXN00241,2023-03-29 10:44:19.459459,64.0,Male,North,Electronics,7,199,2365.98,Debit Card,2
TXN00242,2023-03-29 19:29:00.540540,55.0,Male,East,Groceries,5,9999,2908.21,Credit Card,4
TXN00243,2023-03-30 04:13:41.621621,32.0,Male,East,Sports,6,499,3403.99,Cash,5
TXN00244,2023-03-30 12:58:22.702702,38.0,Male,East,Clothing,4,2999,3692.6,Credit Card,4
TXN00245,2023-03-30 21:43:03.783783,52.0,Female,East,Groceries,2,1499,13159.720579038536,Credit Card,2
TXN00246,2023-03-31 06:27:44.864864,63.0,Male,West,Clothing,9,9999,2732.4,Debit Card,3
TXN00247,2023-03-31 15:12:25.945945,69.0,Male,West,Sports,3,9999,2620.04,Credit Card,5
TXN00248,2023-03-31 23:57:07.027027,31.0,Female,South,Furniture,7,2999,2477.34,Cash,5
TXN00249,2023-04-01 08:41:48.108108,53.0,Female,West,Groceries,8,2999,4412.36,UPI,4
TXN00250,2023-04-01 17:26:29.189189,29.0,Female,South,Groceries,2,1499,3323.99,Debit Card,4
TXN00251,2023-04-02 02:11:10.270270,34.0,Male,South,Furniture,6,4999,1991.29,Cash,1
TXN00252,2023-04-02 10:55:51.351351,56.0,Female,East,Clothing,8,999,3734.29,UPI,5
TXN00253,2023-04-02 19:40:32.432432,26.0,Female,West,Clothing,7,499,4697.72,Debit Card,5
TXN00254,2023-04-03 04:25:13.513513,52.0,Male,West,Groceries,3,499,3825.97,Debit Card,3
TXN00255,2023-04-03 13:09:54.594594,30.0,Male,South,Clothing,1,4999,1784.5,UPI,4
TXN00256,2023-04-03 21:54:35.675675,32.0,Female,South,Electronics,6,199,2612.61,UPI,3
TXN00257,2023-04-04 06:39:16.756756,35.0,Male,North,Electronics,8,4999,4013.53,Cash,1
TXN00258,2023-04-04 15:23:57.837837,68.0,Female,North,Electronics,6,199,2433.86,Credit Card,3
TXN00259,2023-04-05 00:08:38.918918,50.0,Female,South,Sports,5,199,3355.06,Credit Card,3
TXN00260,2023-04-05 08:53:20.000000,23.0,Male,North,Groceries,8,4999,3619.71,Credit Card,3
TXN00261,2023-04-05 17:38:01.081081,44.0,Female,North,Groceries,2,499,2258.46,Credit Card,4
TXN00262,2023-04-06 02:22:42.162162,40.0,Male,South,Clothing,1,999,2952.38,Credit Card,4
TXN00263,2023-04-06 11:07:23.243243,44.0,Male,South,Clothing,1,499,406.99,Cash,4
TXN00264,2023-04-06 19:52:04.324324,51.0,Male,West,Clothing,4,9999,2180.49,Debit Card,3
